EXT_SOURCE_2,EXT_SOURCE_3,PAYMENT_RATE,DAYS_BIRTH,EXT_SOURCE_1,DAYS_EMPLOYED,DAYS_REGISTRATION,DAYS_ID_PUBLISH,INSTAL_DBD_MEAN,ANNUITY_INCOME_PERC,AMT_ANNUITY,DAYS_LAST_PHONE_CHANGE,ACTIVE_DAYS_CREDIT_UPDATE_MEAN,REGION_POPULATION_RELATIVE,INSTAL_DAYS_ENTRY_PAYMENT_MAX,INCOME_CREDIT_PERC,INSTAL_AMT_PAYMENT_MIN,CLOSED_DAYS_CREDIT_MAX,ACTIVE_DAYS_CREDIT_ENDDATE_MIN,PREV_APP_CREDIT_PERC_VAR,INSTAL_DBD_MAX,INSTAL_DBD_SUM,BURO_DAYS_CREDIT_VAR,CLOSED_DAYS_CREDIT_ENDDATE_MAX,ACTIVE_DAYS_CREDIT_MAX,INCOME_PER_PERSON,PREV_HOUR_APPR_PROCESS_START_MEAN,BURO_AMT_CREDIT_MAX_OVERDUE_MEAN,CLOSED_AMT_CREDIT_SUM_MEAN,POS_NAME_CONTRACT_STATUS_Active_MEAN,ACTIVE_DAYS_CREDIT_VAR,CLOSED_DAYS_CREDIT_UPDATE_MEAN,PREV_CNT_PAYMENT_MEAN,PREV_APP_CREDIT_PERC_MEAN,INSTAL_AMT_PAYMENT_MEAN,INSTAL_DPD_MEAN,PREV_AMT_ANNUITY_MIN,PREV_NAME_TYPE_SUITE_Unaccompanied_MEAN,INSTAL_AMT_INSTALMENT_MAX,HOUR_APPR_PROCESS_START,TOTALAREA_MODE,INSTAL_PAYMENT_PERC_VAR,PREV_NAME_TYPE_SUITE_nan_MEAN,PREV_NAME_YIELD_GROUP_middle_MEAN,PREV_RATE_DOWN_PAYMENT_MEAN,TARGET
0.24794596,0.14375806,0.079,110,0.5021294,-1147.0,-1868.0,67,11.18644,0.0632,19908.0,-563.0,-13.5,0.00702,-14.0,1.25,24.84,-615.0,83.0,0.06465478,61.0,660.0,244229.7,-65.0,-191.0,157500.0,11.526316,0.0,352747.3,0.96666664,170702.33,-605.0,26.571428,0.86338985,13024.5625,0.0,2110.005,0.31578946,101722.37,12,0.1025479,0.0,0.47368422,0.05263158,0.0,0
0.4326891,0.5108563,0.03317507,-127,0.5021294,-2208.0,-362.0,-8,10.771428,0.2562,34587.0,0.0,-132.19705,0.020713,-848.0,0.12948895,303.885,-907.4482,1011.9233,0.0068639894,31.0,377.0,490517.25,774.7538,-416.93738,67500.0,10.333333,5242.4604,257651.02,0.9189189,307208.47,-827.34595,11.333333,1.0593541,7151.1465,0.08571429,5711.85,0.6666667,9344.07,7,0.1025479,0.026052801,0.0,0.0,0.13513035,0
0.67720765,0.6479769,0.05,-79,0.47150862,-855.0,-4386.0,-119,12.6,0.075,13500.0,-160.0,-20.0,0.04622,-21.0,0.6666667,37801.844,-536.0,884.0,0.07275849,17.0,63.0,9800.0,-355.0,-396.0,60000.0,12.0,0.0,226858.5,1.0,307208.47,-126.0,6.0,1.25,37827.945,0.0,37801.844,1.0,37932.344,11,0.1025479,0.0,0.0,0.0,0.21781819,0
0.42646268,0.5602843,0.055837657,99,0.4117526,-1615.0,-425.0,65,4.7586207,0.36156,40675.5,-1628.0,-152.66667,0.019689,-18.0,0.15443538,67.5,-694.0,658.0,0.344361,24.0,276.0,144162.95,-329.0,-438.0,56250.0,14.0,0.0,148393.12,0.90909094,1976.3334,-569.5,5.0,0.67735183,3102.7012,0.0,5798.34,0.0,43650.0,16,0.0563,0.0,0.75,0.0,0.053209443,0
0.29061756,0.59892625,0.048317596,93,0.7770086,-809.0,-11233.0,-115,2.59375,0.26732,30073.5,-1140.0,-6.0,0.018801,-35.0,0.18074815,0.405,-907.4482,795.0,0.15094863,14.0,249.0,490517.25,774.7538,-301.0,56250.0,13.571428,5242.4604,257651.02,0.88461536,307208.47,-827.34595,20.4,0.68172026,8987.455,0.0,11087.955,0.2857143,87112.35,13,0.0678,0.0,0.71428573,0.14285715,0.0,0
0.586755,0.6313545,0.029397782,44,0.5021294,-8846.0,-7079.0,76,10.105883,0.10636,23931.0,-1635.0,-132.19705,0.018634,-10.0,0.27639887,225.0,-1526.0,1011.9233,0.17077398,30.0,1718.0,490517.25,9432.0,-416.93738,56250.0,10.4,5242.4604,1260000.0,0.93877554,307208.47,-41.0,16.0,0.73077977,14028.398,0.29411766,3176.685,0.4,620661.56,9,0.0547,0.8007142,0.4,0.4,0.022226345,0
0.6239918,0.23272477,0.0819,-12,0.5021294,-5310.0,-6726.0,-90,6.1408453,0.0546,3685.5,-543.0,-41.333332,0.005313,-16.0,1.5,3.555,-1922.0,-159.0,0.1620125,30.0,872.0,818978.94,-1646.0,-102.0,67500.0,13.714286,5783.625,23035.5,0.9259259,543342.3,-1587.0,8.0,0.8183144,5138.218,0.15492958,2250.0,0.14285715,148500.0,11,0.0307,0.026368372,0.85714287,0.0,0.0,0
0.7509992,0.7106744,0.048299413,-49,0.5021294,-717.0,-7983.0,21,5.2,0.118704915,32584.5,-2949.0,-5.0,0.072508,-2794.0,0.4068864,17963.64,-2771.0,688.0,0.07275849,17.0,26.0,2784800.0,-2405.0,-411.0,91500.0,12.661583,0.0,202500.0,0.875,307208.47,-412.0,14.530787,0.96875226,21476.629,1.2,7864.341,0.2845134,35528.58,14,0.19,0.0,0.47940668,0.25491133,0.08192415,0
0.36880553,0.292588,0.039882954,-8,0.8396725,-2384.1423,-385.0,-8,12.26564,0.20336,22878.0,-37.0,-20.0,0.035792,-327.7884,0.19611996,5198.1606,-907.4482,328.0,0.07275849,37.84903,390.6451,245700.5,774.7538,-37.0,56250.0,16.0,0.0,257651.02,0.90468615,245700.5,-827.34595,12.0,1.2000133,18754.361,1.0654914,7161.93,0.0,136339.33,16,0.3929,20770.508,1.0,1.0,0.18152523,0
0.6758294,0.70769936,0.05,25,0.5021294,-2384.1423,-7542.0,-18,26.347826,0.15,13500.0,-1593.0,-19.0,0.030755,-126.0,0.33333334,6109.83,-971.0,1011.9233,0.010693359,156.0,1212.0,238562.0,-879.0,-1022.0,90000.0,15.75,0.0,38341.68,0.92,307208.47,-1252.0,16.0,1.0052081,9359.225,0.0,6109.83,0.0,18018.676,11,0.1025479,0.0,0.5,0.25,0.03630635,0
0.2366266,0.63637614,0.06475265,65,0.5021294,-2384.1423,-4634.0,-44,6.3168316,0.19990909,9895.5,-425.0,-12.0,0.010966,-10.0,0.32391047,5.94,-2416.0,886.0,0.21016917,40.0,638.0,1106743.9,-590.0,-379.0,24750.0,16.285715,3579.0,101223.0,0.91525424,1740.5,-2055.8333,15.428572,0.48889703,12699.638,0.4059406,9416.475,0.2857143,297141.25,11,0.1025479,0.047281742,0.5714286,0.0,0.0,0
0.65119207,0.2032521,0.0792312,29,0.5021294,-199.0,-1669.0,105,35.058823,0.13614666,45949.5,0.0,-13.0,0.032561,-1277.0,0.5819547,2163.645,-32.0,113.0,0.037540525,120.0,596.0,641777.56,-1277.0,-18.0,168750.0,14.166667,0.0,69237.0,0.8947368,1250.0,-646.0,10.5,1.1701621,16891.584,1.4117647,4873.05,0.0,22332.6,15,0.1025479,0.047886465,0.16666667,0.0,0.1412746,0
0.5835435,0.5108563,0.031553295,29,0.5021294,-2384.1423,-10317.0,2,10.446154,0.29585,26626.5,-3130.0,-132.19705,0.028663,-81.0,0.10665301,2.205,-2292.0,1011.9233,0.07275849,74.0,679.0,111864.5,-2110.0,-416.93738,90000.0,10.0,0.0,90000.0,1.0,307208.47,-2346.5,48.0,1.0,4754.1553,0.0,9459.0,0.33333334,42705.0,14,0.233,0.3303461,0.6666667,0.33333334,0.08192415,0
0.6529384,0.17044613,0.038909294,46,0.4226209,-3647.0,-3098.0,67,3.7857144,0.2741961,31464.0,-648.0,-19.5,0.022625,-251.0,0.14190318,3474.63,-1067.0,308.0,0.013768457,10.0,53.0,564403.06,-339.0,-21.0,57375.0,13.5,3118.185,126585.75,0.88235295,74112.5,-936.5,19.5,0.8996623,23815.746,0.071428575,2250.0,0.5,94856.49,12,0.4515,0.0,0.5,0.16666667,0.08192415,0
